Training net...

Iteration     0: accuracy_at_1 =  0.78%; accuracy_at_5 =  5.86%; loss = 4.605170 
Iteration    10: accuracy_at_1 =  1.56%; accuracy_at_5 =  5.47%; loss = 4.607181  (0.096742 s/it)
Iteration    20: accuracy_at_1 =  0.00%; accuracy_at_5 =  3.52%; loss = 4.598015  (0.105529 s/it)
Iteration    30: accuracy_at_1 =  0.78%; accuracy_at_5 =  4.30%; loss = 4.593823  (0.105512 s/it)
Iteration    40: accuracy_at_1 =  1.17%; accuracy_at_5 =  7.81%; loss = 4.556458  (0.105353 s/it)
Iteration    50: accuracy_at_1 =  1.95%; accuracy_at_5 =  6.64%; loss = 4.555598  (0.105463 s/it)
Iteration    60: accuracy_at_1 =  1.17%; accuracy_at_5 = 12.50%; loss = 4.509785  (0.105593 s/it)
Iteration    70: accuracy_at_1 =  0.39%; accuracy_at_5 = 11.72%; loss = 4.469132  (0.105615 s/it)
Iteration    80: accuracy_at_1 =  2.73%; accuracy_at_5 = 11.33%; loss = 4.443325  (0.105957 s/it)
Iteration    90: accuracy_at_1 =  1.95%; accuracy_at_5 =  7.81%; loss = 4.482476  (0.106018 s/it)
Iteration   100: accuracy_at_1 =  1.17%; accuracy_at_5 =  9.77%; loss = 4.460143  (0.105553 s/it)
Iteration   110: accuracy_at_1 =  2.73%; accuracy_at_5 = 14.45%; loss = 4.414052  (0.105688 s/it)
Iteration   120: accuracy_at_1 =  3.52%; accuracy_at_5 = 14.06%; loss = 4.411468  (0.105607 s/it)
Iteration   130: accuracy_at_1 =  1.95%; accuracy_at_5 = 12.89%; loss = 4.390813  (0.105812 s/it)
Iteration   140: accuracy_at_1 =  2.34%; accuracy_at_5 = 16.02%; loss = 4.443697  (0.106291 s/it)
Iteration   150: accuracy_at_1 =  2.73%; accuracy_at_5 = 13.28%; loss = 4.378522  (0.106028 s/it)
Iteration   160: accuracy_at_1 =  1.17%; accuracy_at_5 = 12.11%; loss = 4.398729  (0.106451 s/it)
Iteration   170: accuracy_at_1 =  4.69%; accuracy_at_5 = 13.28%; loss = 4.379337  (0.106030 s/it)
Iteration   180: accuracy_at_1 =  2.34%; accuracy_at_5 = 11.33%; loss = 4.380428  (0.105940 s/it)
Iteration   190: accuracy_at_1 =  3.52%; accuracy_at_5 = 14.45%; loss = 4.351540  (0.106154 s/it)
Iteration   200: accuracy_at_1 =  5.08%; accuracy_at_5 = 21.09%; loss = 4.232739  (0.105640 s/it)
Iteration   210: accuracy_at_1 =  5.08%; accuracy_at_5 = 17.97%; loss = 4.286023  (0.105544 s/it)
Iteration   220: accuracy_at_1 =  3.91%; accuracy_at_5 = 12.50%; loss = 4.373828  (0.105575 s/it)
Iteration   230: accuracy_at_1 =  3.12%; accuracy_at_5 = 14.06%; loss = 4.367675  (0.105868 s/it)
Iteration   240: accuracy_at_1 =  6.25%; accuracy_at_5 = 16.02%; loss = 4.323158  (0.105605 s/it)
Iteration   250: accuracy_at_1 =  4.30%; accuracy_at_5 = 14.84%; loss = 4.383326  (0.105655 s/it)
Iteration   260: accuracy_at_1 =  4.69%; accuracy_at_5 = 18.75%; loss = 4.282474  (0.105805 s/it)
Iteration   270: accuracy_at_1 =  4.30%; accuracy_at_5 = 18.36%; loss = 4.253188  (0.106284 s/it)
Iteration   280: accuracy_at_1 =  1.56%; accuracy_at_5 = 14.06%; loss = 4.279442  (0.106340 s/it)
Iteration   290: accuracy_at_1 =  4.30%; accuracy_at_5 = 20.31%; loss = 4.242139  (0.106254 s/it)
Iteration   300: accuracy_at_1 =  4.69%; accuracy_at_5 = 17.58%; loss = 4.239284  (0.106426 s/it)
Iteration   310: accuracy_at_1 =  7.42%; accuracy_at_5 = 25.00%; loss = 4.094093  (0.106380 s/it)
