libdc1394 error: Failed to initialize libdc1394
Training net...

Iteration     0: accuracy_at_1 =  0.78%; accuracy_at_5 =  5.86%; loss = 4.605170 
Iteration    10: accuracy_at_1 =  0.39%; accuracy_at_5 =  5.08%; loss = 4.603429  (0.476922 s/it)
Iteration    20: accuracy_at_1 =  0.00%; accuracy_at_5 =  5.47%; loss = 4.599874  (0.477611 s/it)
Iteration    30: accuracy_at_1 =  1.56%; accuracy_at_5 =  3.12%; loss = 4.606698  (0.477628 s/it)
Iteration    40: accuracy_at_1 =  0.39%; accuracy_at_5 =  4.69%; loss = 4.600713  (0.477541 s/it)
Iteration    50: accuracy_at_1 =  0.39%; accuracy_at_5 =  7.42%; loss = 4.602496  (0.477622 s/it)
Iteration    60: accuracy_at_1 =  0.78%; accuracy_at_5 =  5.08%; loss = 4.612782  (0.477620 s/it)
Iteration    70: accuracy_at_1 =  0.78%; accuracy_at_5 =  6.64%; loss = 4.601833  (0.477796 s/it)
Iteration    80: accuracy_at_1 =  1.17%; accuracy_at_5 =  6.25%; loss = 4.599938  (0.477357 s/it)
Iteration    90: accuracy_at_1 =  2.34%; accuracy_at_5 =  5.08%; loss = 4.586524  (0.477539 s/it)
Iteration   100: accuracy_at_1 =  0.39%; accuracy_at_5 =  4.30%; loss = 4.587896  (0.477287 s/it)
Iteration   110: accuracy_at_1 =  1.17%; accuracy_at_5 =  7.03%; loss = 4.584246  (0.477618 s/it)
Iteration   120: accuracy_at_1 =  1.17%; accuracy_at_5 =  5.86%; loss = 4.561910  (0.477872 s/it)
Iteration   130: accuracy_at_1 =  1.17%; accuracy_at_5 =  8.20%; loss = 4.539412  (0.478342 s/it)
Iteration   140: accuracy_at_1 =  1.17%; accuracy_at_5 =  6.25%; loss = 4.545256  (0.478878 s/it)
Iteration   150: accuracy_at_1 =  1.56%; accuracy_at_5 =  8.59%; loss = 4.540291  (0.478823 s/it)
Iteration   160: accuracy_at_1 =  1.95%; accuracy_at_5 =  7.42%; loss = 4.572587  (0.479008 s/it)
Iteration   170: accuracy_at_1 =  2.73%; accuracy_at_5 =  8.59%; loss = 4.570415  (0.478714 s/it)
Iteration   180: accuracy_at_1 =  1.56%; accuracy_at_5 =  7.03%; loss = 4.546819  (0.478760 s/it)
Iteration   190: accuracy_at_1 =  1.17%; accuracy_at_5 =  7.81%; loss = 4.544892  (0.478682 s/it)
Iteration   200: accuracy_at_1 =  3.91%; accuracy_at_5 = 11.33%; loss = 4.515929  (0.477560 s/it)
Iteration   210: accuracy_at_1 =  1.95%; accuracy_at_5 =  8.98%; loss = 4.496153  (0.477625 s/it)
Iteration   220: accuracy_at_1 =  1.17%; accuracy_at_5 = 10.94%; loss = 4.546306  (0.477465 s/it)
