libdc1394 error: Failed to initialize libdc1394
Training net...

Iteration     0: accuracy_at_1 = 38.28%; accuracy_at_5 = 66.02%; loss = 2.380710 
Iteration    10: accuracy_at_1 = 34.77%; accuracy_at_5 = 60.16%; loss = 2.725450  (0.437457 s/it)
Iteration    20: accuracy_at_1 = 29.30%; accuracy_at_5 = 55.47%; loss = 2.721609  (0.475984 s/it)
Iteration    30: accuracy_at_1 = 33.98%; accuracy_at_5 = 64.45%; loss = 2.541564  (0.475640 s/it)
Iteration    40: accuracy_at_1 = 33.20%; accuracy_at_5 = 61.72%; loss = 2.575356  (0.475948 s/it)
Iteration    50: accuracy_at_1 = 34.77%; accuracy_at_5 = 64.84%; loss = 2.584910  (0.475528 s/it)
Iteration    60: accuracy_at_1 = 36.72%; accuracy_at_5 = 68.75%; loss = 2.421147  (0.475667 s/it)
Iteration    70: accuracy_at_1 = 34.38%; accuracy_at_5 = 62.50%; loss = 2.572271  (0.475359 s/it)
Iteration    80: accuracy_at_1 = 32.03%; accuracy_at_5 = 61.33%; loss = 2.668627  (0.475457 s/it)
Iteration    90: accuracy_at_1 = 36.33%; accuracy_at_5 = 66.80%; loss = 2.481980  (0.475515 s/it)
Iteration   100: accuracy_at_1 = 37.11%; accuracy_at_5 = 64.45%; loss = 2.606130  (0.475708 s/it)
Iteration   110: accuracy_at_1 = 31.64%; accuracy_at_5 = 61.72%; loss = 2.711305  (0.475826 s/it)
Iteration   120: accuracy_at_1 = 31.64%; accuracy_at_5 = 62.11%; loss = 2.683080  (0.475780 s/it)
Iteration   130: accuracy_at_1 = 33.59%; accuracy_at_5 = 63.67%; loss = 2.604254  (0.476508 s/it)
Iteration   140: accuracy_at_1 = 27.34%; accuracy_at_5 = 62.11%; loss = 2.793233  (0.477092 s/it)
Iteration   150: accuracy_at_1 = 29.69%; accuracy_at_5 = 59.38%; loss = 2.750942  (0.476630 s/it)
