libdc1394 error: Failed to initialize libdc1394
Training net...

Iteration      0: accuracy_at_1 = 39.06%; accuracy_at_5 = 71.88%; loss = 2.229614 
Iteration     10: accuracy_at_1 = 33.59%; accuracy_at_5 = 62.11%; loss = 2.668660  (0.435208 s/it)
Iteration     20: accuracy_at_1 = 31.64%; accuracy_at_5 = 60.94%; loss = 2.601403  (0.473853 s/it)
Iteration     30: accuracy_at_1 = 32.81%; accuracy_at_5 = 63.67%; loss = 2.456319  (0.473716 s/it)
Iteration     40: accuracy_at_1 = 34.38%; accuracy_at_5 = 62.89%; loss = 2.599261  (0.473548 s/it)
Iteration     50: accuracy_at_1 = 40.62%; accuracy_at_5 = 69.92%; loss = 2.421008  (0.473546 s/it)
Iteration     60: accuracy_at_1 = 41.02%; accuracy_at_5 = 70.31%; loss = 2.360306  (0.473364 s/it)
Iteration     70: accuracy_at_1 = 36.33%; accuracy_at_5 = 62.89%; loss = 2.521658  (0.473211 s/it)
Iteration     80: accuracy_at_1 = 33.98%; accuracy_at_5 = 63.28%; loss = 2.638148  (0.473305 s/it)
Iteration     90: accuracy_at_1 = 37.89%; accuracy_at_5 = 67.19%; loss = 2.417850  (0.473133 s/it)
Iteration    100: accuracy_at_1 = 41.02%; accuracy_at_5 = 67.97%; loss = 2.399191  (0.473556 s/it)
Iteration    110: accuracy_at_1 = 35.94%; accuracy_at_5 = 66.02%; loss = 2.528352  (0.473397 s/it)
Iteration    120: accuracy_at_1 = 33.20%; accuracy_at_5 = 61.72%; loss = 2.659041  (0.473576 s/it)
Iteration    130: accuracy_at_1 = 37.11%; accuracy_at_5 = 65.23%; loss = 2.394142  (0.474014 s/it)
Iteration    140: accuracy_at_1 = 32.81%; accuracy_at_5 = 64.06%; loss = 2.625717  (0.474971 s/it)
Iteration    150: accuracy_at_1 = 35.55%; accuracy_at_5 = 62.89%; loss = 2.584822  (0.474405 s/it)
Iteration    160: accuracy_at_1 = 29.69%; accuracy_at_5 = 57.03%; loss = 2.732740  (0.474594 s/it)
Iteration    170: accuracy_at_1 = 33.98%; accuracy_at_5 = 62.50%; loss = 2.666195  (0.474723 s/it)
Iteration    180: accuracy_at_1 = 34.38%; accuracy_at_5 = 67.97%; loss = 2.534823  (0.474617 s/it)
Iteration    190: accuracy_at_1 = 34.77%; accuracy_at_5 = 64.45%; loss = 2.428370  (0.474652 s/it)
Iteration    200: accuracy_at_1 = 37.89%; accuracy_at_5 = 70.31%; loss = 2.252268  (0.473332 s/it)
Iteration    210: accuracy_at_1 = 35.16%; accuracy_at_5 = 68.36%; loss = 2.522442  (0.473330 s/it)
Iteration    220: accuracy_at_1 = 32.42%; accuracy_at_5 = 62.11%; loss = 2.631601  (0.472992 s/it)
Iteration    230: accuracy_at_1 = 37.50%; accuracy_at_5 = 65.23%; loss = 2.518950  (0.473251 s/it)
Iteration    240: accuracy_at_1 = 32.81%; accuracy_at_5 = 64.06%; loss = 2.595695  (0.473320 s/it)
Iteration    250: accuracy_at_1 = 32.03%; accuracy_at_5 = 65.62%; loss = 2.594208  (0.473669 s/it)
Iteration    260: accuracy_at_1 = 35.16%; accuracy_at_5 = 67.58%; loss = 2.452013  (0.473844 s/it)
Iteration    270: accuracy_at_1 = 35.94%; accuracy_at_5 = 64.06%; loss = 2.609879  (0.474547 s/it)
Iteration    280: accuracy_at_1 = 31.64%; accuracy_at_5 = 60.16%; loss = 2.737488  (0.474555 s/it)
Iteration    290: accuracy_at_1 = 34.38%; accuracy_at_5 = 63.67%; loss = 2.494134  (0.474355 s/it)
Iteration    300: accuracy_at_1 = 34.77%; accuracy_at_5 = 61.33%; loss = 2.595574  (0.474464 s/it)
Iteration    310: accuracy_at_1 = 35.94%; accuracy_at_5 = 64.45%; loss = 2.469178  (0.474669 s/it)
Iteration    320: accuracy_at_1 = 30.86%; accuracy_at_5 = 64.45%; loss = 2.569067  (0.474310 s/it)
Iteration    330: accuracy_at_1 = 32.03%; accuracy_at_5 = 62.89%; loss = 2.664714  (0.473317 s/it)
Iteration    340: accuracy_at_1 = 33.20%; accuracy_at_5 = 67.58%; loss = 2.443176  (0.473421 s/it)
Iteration    350: accuracy_at_1 = 36.72%; accuracy_at_5 = 60.55%; loss = 2.518944  (0.473588 s/it)
Iteration    360: accuracy_at_1 = 34.77%; accuracy_at_5 = 61.72%; loss = 2.581773  (0.473291 s/it)
Iteration    370: accuracy_at_1 = 37.50%; accuracy_at_5 = 66.80%; loss = 2.501626  (0.473532 s/it)
Iteration    380: accuracy_at_1 = 32.03%; accuracy_at_5 = 64.45%; loss = 2.575419  (0.472911 s/it)
Iteration    390: accuracy_at_1 = 35.16%; accuracy_at_5 = 65.62%; loss = 2.477740  (0.475403 s/it)
Iteration    400: accuracy_at_1 = 38.67%; accuracy_at_5 = 64.84%; loss = 2.439196  (0.474648 s/it)
Iteration    410: accuracy_at_1 = 36.33%; accuracy_at_5 = 67.58%; loss = 2.379963  (0.474527 s/it)
Iteration    420: accuracy_at_1 = 39.84%; accuracy_at_5 = 69.92%; loss = 2.246872  (0.474552 s/it)
Iteration    430: accuracy_at_1 = 34.38%; accuracy_at_5 = 68.75%; loss = 2.487076  (0.474760 s/it)
Iteration    440: accuracy_at_1 = 35.94%; accuracy_at_5 = 65.23%; loss = 2.511496  (0.474715 s/it)
Iteration    450: accuracy_at_1 = 34.38%; accuracy_at_5 = 66.02%; loss = 2.574593  (0.474064 s/it)
Iteration    460: accuracy_at_1 = 31.64%; accuracy_at_5 = 66.41%; loss = 2.603357  (0.473197 s/it)
Iteration    470: accuracy_at_1 = 37.11%; accuracy_at_5 = 62.50%; loss = 2.458636  (0.473211 s/it)
Iteration    480: accuracy_at_1 = 39.84%; accuracy_at_5 = 64.45%; loss = 2.365793  (0.473174 s/it)
Iteration    490: accuracy_at_1 = 33.59%; accuracy_at_5 = 66.80%; loss = 2.534177  (0.473590 s/it)
Iteration    500: accuracy_at_1 = 36.72%; accuracy_at_5 = 67.19%; loss = 2.410255  (0.473365 s/it)
Iteration    510: accuracy_at_1 = 34.38%; accuracy_at_5 = 63.28%; loss = 2.461340  (0.473335 s/it)
Iteration    520: accuracy_at_1 = 34.38%; accuracy_at_5 = 69.14%; loss = 2.472413  (0.474698 s/it)
Iteration    530: accuracy_at_1 = 39.84%; accuracy_at_5 = 64.06%; loss = 2.421050  (0.474478 s/it)
Iteration    540: accuracy_at_1 = 32.81%; accuracy_at_5 = 61.33%; loss = 2.661695  (0.474525 s/it)
