libdc1394 error: Failed to initialize libdc1394
Training net...

Iteration     0: accuracy_at_1 = 40.23%; accuracy_at_5 = 71.09%; loss = 2.232659 
Iteration    10: accuracy_at_1 = 39.06%; accuracy_at_5 = 68.36%; loss = 2.396284  (0.379172 s/it)
Iteration    20: accuracy_at_1 = 33.20%; accuracy_at_5 = 58.98%; loss = 2.577799  (0.412556 s/it)
Iteration    30: accuracy_at_1 = 36.33%; accuracy_at_5 = 70.70%; loss = 2.285013  (0.412310 s/it)
Iteration    40: accuracy_at_1 = 35.16%; accuracy_at_5 = 66.41%; loss = 2.450544  (0.412203 s/it)
Iteration    50: accuracy_at_1 = 37.50%; accuracy_at_5 = 67.97%; loss = 2.431837  (0.412101 s/it)
Iteration    60: accuracy_at_1 = 37.50%; accuracy_at_5 = 71.09%; loss = 2.330093  (0.412422 s/it)
Iteration    70: accuracy_at_1 = 37.50%; accuracy_at_5 = 67.97%; loss = 2.417309  (0.412752 s/it)
Iteration    80: accuracy_at_1 = 33.59%; accuracy_at_5 = 65.62%; loss = 2.537408  (0.414061 s/it)
Iteration    90: accuracy_at_1 = 37.11%; accuracy_at_5 = 70.70%; loss = 2.379266  (0.414185 s/it)
Iteration   100: accuracy_at_1 = 40.23%; accuracy_at_5 = 69.14%; loss = 2.418636  (0.412166 s/it)
Iteration   110: accuracy_at_1 = 34.77%; accuracy_at_5 = 67.19%; loss = 2.486032  (0.412452 s/it)
Iteration   120: accuracy_at_1 = 33.98%; accuracy_at_5 = 64.45%; loss = 2.558053  (0.412291 s/it)
Iteration   130: accuracy_at_1 = 38.67%; accuracy_at_5 = 66.41%; loss = 2.366665  (0.412765 s/it)
Iteration   140: accuracy_at_1 = 32.81%; accuracy_at_5 = 63.67%; loss = 2.508819  (0.413489 s/it)
Iteration   150: accuracy_at_1 = 31.64%; accuracy_at_5 = 66.02%; loss = 2.566453  (0.413457 s/it)
Iteration   160: accuracy_at_1 = 32.81%; accuracy_at_5 = 65.23%; loss = 2.533243  (0.413647 s/it)
Iteration   170: accuracy_at_1 = 37.50%; accuracy_at_5 = 65.23%; loss = 2.545717  (0.413567 s/it)
Iteration   180: accuracy_at_1 = 34.77%; accuracy_at_5 = 66.41%; loss = 2.429207  (0.413600 s/it)
Iteration   190: accuracy_at_1 = 36.33%; accuracy_at_5 = 64.06%; loss = 2.399944  (0.413776 s/it)
Iteration   200: accuracy_at_1 = 42.58%; accuracy_at_5 = 69.14%; loss = 2.260884  (0.412570 s/it)
Iteration   210: accuracy_at_1 = 40.62%; accuracy_at_5 = 67.97%; loss = 2.403107  (0.412337 s/it)
Iteration   220: accuracy_at_1 = 37.89%; accuracy_at_5 = 65.62%; loss = 2.473919  (0.412433 s/it)
Iteration   230: accuracy_at_1 = 37.11%; accuracy_at_5 = 69.14%; loss = 2.369767  (0.412122 s/it)
Iteration   240: accuracy_at_1 = 32.42%; accuracy_at_5 = 60.94%; loss = 2.500954  (0.412292 s/it)
Iteration   250: accuracy_at_1 = 36.33%; accuracy_at_5 = 62.50%; loss = 2.535317  (0.412367 s/it)
Iteration   260: accuracy_at_1 = 38.67%; accuracy_at_5 = 68.36%; loss = 2.348668  (0.413996 s/it)
Iteration   270: accuracy_at_1 = 36.33%; accuracy_at_5 = 69.14%; loss = 2.492257  (0.414788 s/it)
Iteration   280: accuracy_at_1 = 32.42%; accuracy_at_5 = 62.89%; loss = 2.606769  (0.413858 s/it)
Iteration   290: accuracy_at_1 = 39.45%; accuracy_at_5 = 71.09%; loss = 2.277011  (0.413514 s/it)
Iteration   300: accuracy_at_1 = 33.98%; accuracy_at_5 = 62.89%; loss = 2.540041  (0.413594 s/it)
Iteration   310: accuracy_at_1 = 38.28%; accuracy_at_5 = 69.14%; loss = 2.350116  (0.413611 s/it)
Iteration   320: accuracy_at_1 = 31.25%; accuracy_at_5 = 67.19%; loss = 2.450625  (0.413395 s/it)
Iteration   330: accuracy_at_1 = 35.94%; accuracy_at_5 = 68.36%; loss = 2.408181  (0.412163 s/it)
Iteration   340: accuracy_at_1 = 39.06%; accuracy_at_5 = 67.58%; loss = 2.382101  (0.412169 s/it)
Iteration   350: accuracy_at_1 = 35.94%; accuracy_at_5 = 64.45%; loss = 2.522234  (0.411993 s/it)
Iteration   360: accuracy_at_1 = 35.94%; accuracy_at_5 = 64.84%; loss = 2.456877  (0.411764 s/it)
Iteration   370: accuracy_at_1 = 42.58%; accuracy_at_5 = 67.58%; loss = 2.327016  (0.412007 s/it)
Iteration   380: accuracy_at_1 = 30.08%; accuracy_at_5 = 63.67%; loss = 2.567774  (0.411877 s/it)
Iteration   390: accuracy_at_1 = 39.45%; accuracy_at_5 = 70.31%; loss = 2.369443  (0.413991 s/it)
Iteration   400: accuracy_at_1 = 38.28%; accuracy_at_5 = 67.58%; loss = 2.358362  (0.413149 s/it)
Iteration   410: accuracy_at_1 = 39.45%; accuracy_at_5 = 71.09%; loss = 2.349908  (0.412899 s/it)
Iteration   420: accuracy_at_1 = 40.62%; accuracy_at_5 = 67.58%; loss = 2.247777  (0.412908 s/it)
Iteration   430: accuracy_at_1 = 35.94%; accuracy_at_5 = 69.14%; loss = 2.409387  (0.413210 s/it)
Iteration   440: accuracy_at_1 = 38.67%; accuracy_at_5 = 68.75%; loss = 2.401248  (0.413856 s/it)
Iteration   450: accuracy_at_1 = 37.50%; accuracy_at_5 = 66.02%; loss = 2.463690  (0.414379 s/it)
Iteration   460: accuracy_at_1 = 34.38%; accuracy_at_5 = 65.23%; loss = 2.438450  (0.413085 s/it)
Iteration   470: accuracy_at_1 = 37.89%; accuracy_at_5 = 69.53%; loss = 2.366796  (0.411982 s/it)
Iteration   480: accuracy_at_1 = 39.84%; accuracy_at_5 = 68.75%; loss = 2.281995  (0.412063 s/it)
Iteration   490: accuracy_at_1 = 39.45%; accuracy_at_5 = 67.97%; loss = 2.439085  (0.411838 s/it)
Iteration   500: accuracy_at_1 = 37.50%; accuracy_at_5 = 67.97%; loss = 2.415486  (0.412025 s/it)
Iteration   510: accuracy_at_1 = 39.84%; accuracy_at_5 = 68.75%; loss = 2.396347  (0.412125 s/it)
Iteration   520: accuracy_at_1 = 34.38%; accuracy_at_5 = 71.88%; loss = 2.394704  (0.413038 s/it)
Iteration   530: accuracy_at_1 = 40.62%; accuracy_at_5 = 67.97%; loss = 2.268999  (0.413091 s/it)
Iteration   540: accuracy_at_1 = 35.16%; accuracy_at_5 = 67.19%; loss = 2.503142  (0.413211 s/it)
Iteration   550: accuracy_at_1 = 38.28%; accuracy_at_5 = 63.28%; loss = 2.385489  (0.413324 s/it)
Iteration   560: accuracy_at_1 = 41.80%; accuracy_at_5 = 72.27%; loss = 2.241782  (0.413037 s/it)
Iteration   570: accuracy_at_1 = 33.98%; accuracy_at_5 = 64.84%; loss = 2.538461  (0.413220 s/it)
Iteration   580: accuracy_at_1 = 39.45%; accuracy_at_5 = 70.31%; loss = 2.329335  (0.412424 s/it)
Iteration   590: accuracy_at_1 = 38.67%; accuracy_at_5 = 67.19%; loss = 2.466156  (0.411873 s/it)
Iteration   600: accuracy_at_1 = 35.16%; accuracy_at_5 = 66.02%; loss = 2.443342  (0.411826 s/it)
Iteration   610: accuracy_at_1 = 35.16%; accuracy_at_5 = 59.77%; loss = 2.716866  (0.412001 s/it)
Iteration   620: accuracy_at_1 = 41.41%; accuracy_at_5 = 69.14%; loss = 2.306187  (0.412147 s/it)
Iteration   630: accuracy_at_1 = 31.25%; accuracy_at_5 = 64.45%; loss = 2.701673  (0.413179 s/it)
Iteration   640: accuracy_at_1 = 41.41%; accuracy_at_5 = 69.14%; loss = 2.287730  (0.412410 s/it)
Iteration   650: accuracy_at_1 = 36.33%; accuracy_at_5 = 66.80%; loss = 2.419327  (0.413278 s/it)
Iteration   660: accuracy_at_1 = 32.42%; accuracy_at_5 = 70.70%; loss = 2.376861  (0.413259 s/it)
Iteration   670: accuracy_at_1 = 38.67%; accuracy_at_5 = 69.14%; loss = 2.336115  (0.413064 s/it)
Iteration   680: accuracy_at_1 = 35.55%; accuracy_at_5 = 67.97%; loss = 2.391649  (0.413253 s/it)
Iteration   690: accuracy_at_1 = 32.81%; accuracy_at_5 = 64.06%; loss = 2.578407  (0.412988 s/it)
Iteration   700: accuracy_at_1 = 36.72%; accuracy_at_5 = 67.19%; loss = 2.462741  (0.413059 s/it)
