libdc1394 error: Failed to initialize libdc1394
Training net...

Iteration     0: accuracy_at_1 = 40.62%; accuracy_at_5 = 66.80%; loss = 2.327776 
Iteration    10: accuracy_at_1 = 32.42%; accuracy_at_5 = 63.28%; loss = 2.722677  (0.228466 s/it)
Iteration    20: accuracy_at_1 = 35.94%; accuracy_at_5 = 60.55%; loss = 2.581776  (0.339139 s/it)
Iteration    30: accuracy_at_1 = 37.11%; accuracy_at_5 = 67.58%; loss = 2.390311  (0.462506 s/it)
Iteration    40: accuracy_at_1 = 32.03%; accuracy_at_5 = 64.84%; loss = 2.613429  (0.446955 s/it)
Iteration    50: accuracy_at_1 = 35.94%; accuracy_at_5 = 68.36%; loss = 2.534596  (0.342707 s/it)
Iteration    60: accuracy_at_1 = 39.45%; accuracy_at_5 = 68.36%; loss = 2.389755  (0.463771 s/it)
Iteration    70: accuracy_at_1 = 37.50%; accuracy_at_5 = 68.36%; loss = 2.452106  (0.462730 s/it)
Iteration    80: accuracy_at_1 = 30.86%; accuracy_at_5 = 61.72%; loss = 2.648651  (0.461356 s/it)
Iteration    90: accuracy_at_1 = 37.50%; accuracy_at_5 = 64.84%; loss = 2.470836  (0.465091 s/it)
Iteration   100: accuracy_at_1 = 37.11%; accuracy_at_5 = 65.62%; loss = 2.505220  (0.466004 s/it)
Iteration   110: accuracy_at_1 = 33.20%; accuracy_at_5 = 65.23%; loss = 2.606679  (0.466051 s/it)
Iteration   120: accuracy_at_1 = 35.16%; accuracy_at_5 = 64.06%; loss = 2.616601  (0.465959 s/it)
Iteration   130: accuracy_at_1 = 35.55%; accuracy_at_5 = 62.50%; loss = 2.484441  (0.466516 s/it)
Iteration   140: accuracy_at_1 = 30.86%; accuracy_at_5 = 57.42%; loss = 2.676731  (0.466224 s/it)
Iteration   150: accuracy_at_1 = 34.38%; accuracy_at_5 = 63.67%; loss = 2.613982  (0.466209 s/it)
Iteration   160: accuracy_at_1 = 26.56%; accuracy_at_5 = 62.50%; loss = 2.701749  (0.467728 s/it)
Iteration   170: accuracy_at_1 = 33.59%; accuracy_at_5 = 60.16%; loss = 2.690120  (0.467000 s/it)
Iteration   180: accuracy_at_1 = 31.64%; accuracy_at_5 = 63.28%; loss = 2.557407  (0.467258 s/it)
Iteration   190: accuracy_at_1 = 33.98%; accuracy_at_5 = 62.50%; loss = 2.604202  (0.466708 s/it)
Iteration   200: accuracy_at_1 = 37.50%; accuracy_at_5 = 69.14%; loss = 2.306399  (0.465509 s/it)
Iteration   210: accuracy_at_1 = 34.38%; accuracy_at_5 = 66.80%; loss = 2.627612  (0.464782 s/it)
Iteration   220: accuracy_at_1 = 32.42%; accuracy_at_5 = 61.72%; loss = 2.668964  (0.416330 s/it)
Iteration   230: accuracy_at_1 = 32.81%; accuracy_at_5 = 60.55%; loss = 2.627696  (0.457589 s/it)
Iteration   240: accuracy_at_1 = 33.20%; accuracy_at_5 = 65.23%; loss = 2.640105  (0.465095 s/it)
Iteration   250: accuracy_at_1 = 29.69%; accuracy_at_5 = 61.72%; loss = 2.693618  (0.466059 s/it)
Iteration   260: accuracy_at_1 = 35.55%; accuracy_at_5 = 64.06%; loss = 2.488047  (0.465646 s/it)
Iteration   270: accuracy_at_1 = 33.98%; accuracy_at_5 = 59.38%; loss = 2.684889  (0.467386 s/it)
Iteration   280: accuracy_at_1 = 28.12%; accuracy_at_5 = 66.02%; loss = 2.741269  (0.467392 s/it)
Iteration   290: accuracy_at_1 = 35.94%; accuracy_at_5 = 66.80%; loss = 2.460994  (0.466604 s/it)
Iteration   300: accuracy_at_1 = 31.25%; accuracy_at_5 = 61.33%; loss = 2.624864  (0.467527 s/it)
Iteration   310: accuracy_at_1 = 37.11%; accuracy_at_5 = 64.45%; loss = 2.452549  (0.467299 s/it)
Iteration   320: accuracy_at_1 = 31.64%; accuracy_at_5 = 68.36%; loss = 2.540495  (0.466466 s/it)
Iteration   330: accuracy_at_1 = 33.20%; accuracy_at_5 = 63.28%; loss = 2.654738  (0.464148 s/it)
