libdc1394 error: Failed to initialize libdc1394
Training net...

Iteration     0: accuracy_at_1 =  0.78%; accuracy_at_5 =  5.86%; loss = 4.605170 
Iteration    10: accuracy_at_1 =  1.17%; accuracy_at_5 =  5.08%; loss = 4.632771  (0.445965 s/it)
Iteration    20: accuracy_at_1 =  0.78%; accuracy_at_5 =  4.69%; loss = 4.604494  (0.451511 s/it)
Iteration    30: accuracy_at_1 =  1.56%; accuracy_at_5 =  5.47%; loss = 4.608736  (0.451451 s/it)
Iteration    40: accuracy_at_1 =  1.17%; accuracy_at_5 =  4.69%; loss = 4.602696  (0.451610 s/it)
Iteration    50: accuracy_at_1 =  0.00%; accuracy_at_5 =  4.69%; loss = 4.606717  (0.451403 s/it)
Iteration    60: accuracy_at_1 =  0.78%; accuracy_at_5 =  3.52%; loss = 4.607482  (0.451394 s/it)
Iteration    70: accuracy_at_1 =  1.17%; accuracy_at_5 =  6.25%; loss = 4.601665  (0.451234 s/it)
Iteration    80: accuracy_at_1 =  1.17%; accuracy_at_5 =  5.47%; loss = 4.608912  (0.451645 s/it)
Iteration    90: accuracy_at_1 =  0.39%; accuracy_at_5 =  4.69%; loss = 4.606465  (0.451458 s/it)
Iteration   100: accuracy_at_1 =  1.17%; accuracy_at_5 =  4.69%; loss = 4.605208  (0.451137 s/it)
Iteration   110: accuracy_at_1 =  2.34%; accuracy_at_5 =  8.20%; loss = 4.603545  (0.451620 s/it)
Iteration   120: accuracy_at_1 =  1.17%; accuracy_at_5 =  7.03%; loss = 4.605536  (0.451191 s/it)
Iteration   130: accuracy_at_1 =  0.39%; accuracy_at_5 =  3.52%; loss = 4.602451  (0.452142 s/it)
Iteration   140: accuracy_at_1 =  0.78%; accuracy_at_5 =  5.47%; loss = 4.606650  (0.452876 s/it)
Iteration   150: accuracy_at_1 =  0.00%; accuracy_at_5 =  2.73%; loss = 4.607742  (0.452634 s/it)
Iteration   160: accuracy_at_1 =  0.39%; accuracy_at_5 =  3.91%; loss = 4.604978  (0.452558 s/it)
Iteration   170: accuracy_at_1 =  0.39%; accuracy_at_5 =  5.08%; loss = 4.606430  (0.452950 s/it)
Iteration   180: accuracy_at_1 =  0.39%; accuracy_at_5 =  3.91%; loss = 4.606864  (0.452328 s/it)
Iteration   190: accuracy_at_1 =  1.95%; accuracy_at_5 =  6.64%; loss = 4.605674  (0.452478 s/it)
Iteration   200: accuracy_at_1 =  0.78%; accuracy_at_5 =  4.30%; loss = 4.609039  (0.450586 s/it)
Iteration   210: accuracy_at_1 =  0.78%; accuracy_at_5 =  4.69%; loss = 4.605463  (0.450638 s/it)
Iteration   220: accuracy_at_1 =  1.17%; accuracy_at_5 =  7.03%; loss = 4.605620  (0.449928 s/it)
Iteration   230: accuracy_at_1 =  0.39%; accuracy_at_5 =  3.12%; loss = 4.605581  (0.450986 s/it)
Iteration   240: accuracy_at_1 =  0.39%; accuracy_at_5 =  5.47%; loss = 4.606121  (0.451712 s/it)
Iteration   250: accuracy_at_1 =  1.95%; accuracy_at_5 =  6.64%; loss = 4.605847  (0.451704 s/it)
Iteration   260: accuracy_at_1 =  0.78%; accuracy_at_5 =  3.12%; loss = 4.607388  (0.452011 s/it)
Iteration   270: accuracy_at_1 =  1.56%; accuracy_at_5 =  5.86%; loss = 4.607033  (0.452466 s/it)
