libdc1394 error: Failed to initialize libdc1394
Training net...

Iteration     0: accuracy_at_1 =  1.17%; accuracy_at_5 =  5.86%; loss = 4.605170 
Iteration    10: accuracy_at_1 =  0.78%; accuracy_at_5 =  3.12%; loss = 4.645832  (0.692064 s/it)
Iteration    20: accuracy_at_1 =  1.17%; accuracy_at_5 =  7.42%; loss = 4.578837  (0.696277 s/it)
Iteration    30: accuracy_at_1 =  3.91%; accuracy_at_5 = 10.94%; loss = 4.547076  (0.696676 s/it)
Iteration    40: accuracy_at_1 =  1.56%; accuracy_at_5 =  7.42%; loss = 4.542069  (0.695875 s/it)
Iteration    50: accuracy_at_1 =  2.73%; accuracy_at_5 = 10.55%; loss = 4.488612  (0.696366 s/it)
Iteration    60: accuracy_at_1 =  1.56%; accuracy_at_5 =  8.59%; loss = 4.564783  (0.695993 s/it)
Iteration    70: accuracy_at_1 =  3.12%; accuracy_at_5 = 11.33%; loss = 4.487512  (0.696237 s/it)
Iteration    80: accuracy_at_1 =  2.34%; accuracy_at_5 = 10.55%; loss = 4.437024  (0.696233 s/it)
Iteration    90: accuracy_at_1 =  2.34%; accuracy_at_5 =  9.38%; loss = 4.428781  (0.695915 s/it)
Iteration   100: accuracy_at_1 =  2.73%; accuracy_at_5 =  8.98%; loss = 4.426622  (0.696252 s/it)
Iteration   110: accuracy_at_1 =  4.30%; accuracy_at_5 = 14.06%; loss = 4.418448  (0.696306 s/it)
Iteration   120: accuracy_at_1 =  3.91%; accuracy_at_5 = 17.97%; loss = 4.334749  (0.695921 s/it)
Iteration   130: accuracy_at_1 =  2.34%; accuracy_at_5 = 10.94%; loss = 4.407681  (0.696781 s/it)
Iteration   140: accuracy_at_1 =  3.52%; accuracy_at_5 = 13.67%; loss = 4.282880  (0.697159 s/it)
Iteration   150: accuracy_at_1 =  2.34%; accuracy_at_5 =  8.98%; loss = 4.343795  (0.697421 s/it)
Iteration   160: accuracy_at_1 =  3.12%; accuracy_at_5 = 16.80%; loss = 4.300936  (0.697611 s/it)
Iteration   170: accuracy_at_1 =  5.08%; accuracy_at_5 = 17.58%; loss = 4.201925  (0.697299 s/it)
Iteration   180: accuracy_at_1 =  6.64%; accuracy_at_5 = 18.75%; loss = 4.140050  (0.697727 s/it)
Iteration   190: accuracy_at_1 =  5.86%; accuracy_at_5 = 18.36%; loss = 4.183881  (0.696852 s/it)
Iteration   200: accuracy_at_1 =  5.08%; accuracy_at_5 = 20.31%; loss = 4.135056  (0.695665 s/it)
Iteration   210: accuracy_at_1 =  7.03%; accuracy_at_5 = 21.88%; loss = 4.057692  (0.695979 s/it)
Iteration   220: accuracy_at_1 =  5.86%; accuracy_at_5 = 23.44%; loss = 4.166739  (0.696220 s/it)
Iteration   230: accuracy_at_1 =  6.64%; accuracy_at_5 = 22.27%; loss = 4.111593  (0.695629 s/it)
Iteration   240: accuracy_at_1 =  5.47%; accuracy_at_5 = 17.97%; loss = 4.248483  (0.695872 s/it)
Iteration   250: accuracy_at_1 =  7.81%; accuracy_at_5 = 25.39%; loss = 3.997887  (0.696419 s/it)
Iteration   260: accuracy_at_1 =  5.86%; accuracy_at_5 = 20.70%; loss = 4.154894  (0.696905 s/it)
Iteration   270: accuracy_at_1 =  5.47%; accuracy_at_5 = 24.22%; loss = 4.214264  (0.697212 s/it)
Iteration   280: accuracy_at_1 =  6.64%; accuracy_at_5 = 20.31%; loss = 4.085330  (0.697282 s/it)
Iteration   290: accuracy_at_1 =  7.81%; accuracy_at_5 = 22.27%; loss = 4.062696  (0.697133 s/it)
Iteration   300: accuracy_at_1 =  7.42%; accuracy_at_5 = 27.73%; loss = 3.998638  (0.697831 s/it)
Iteration   310: accuracy_at_1 =  7.42%; accuracy_at_5 = 21.09%; loss = 4.066383  (0.697702 s/it)
Iteration   320: accuracy_at_1 =  7.81%; accuracy_at_5 = 24.61%; loss = 3.963243  (0.696919 s/it)
