libdc1394 error: Failed to initialize libdc1394
Training net...

Iteration     0: accuracy_at_1 =  0.00%; accuracy_at_5 =  6.25%; loss = 4.605170 
Iteration    10: accuracy_at_1 =  0.00%; accuracy_at_5 =  1.56%; loss = 4.618196  (1.402040 s/it)
Iteration    20: accuracy_at_1 =  1.56%; accuracy_at_5 =  6.25%; loss = 4.603069  (1.403641 s/it)
Iteration    30: accuracy_at_1 =  0.00%; accuracy_at_5 =  1.56%; loss = 4.637071  (1.403805 s/it)
Iteration    40: accuracy_at_1 =  0.00%; accuracy_at_5 =  1.56%; loss = 4.604520  (1.403310 s/it)
Iteration    50: accuracy_at_1 =  0.00%; accuracy_at_5 =  1.56%; loss = 4.625614  (1.404187 s/it)
Iteration    60: accuracy_at_1 =  1.56%; accuracy_at_5 =  4.69%; loss = 4.620353  (1.413348 s/it)
Iteration    70: accuracy_at_1 =  3.12%; accuracy_at_5 = 10.94%; loss = 4.581306  (1.412957 s/it)
Iteration    80: accuracy_at_1 =  0.00%; accuracy_at_5 =  7.81%; loss = 4.604322  (1.413087 s/it)
Iteration    90: accuracy_at_1 =  3.12%; accuracy_at_5 = 18.75%; loss = 4.509793  (1.413972 s/it)
Iteration   100: accuracy_at_1 =  1.56%; accuracy_at_5 =  9.38%; loss = 4.496054  (1.413827 s/it)
Iteration   110: accuracy_at_1 =  6.25%; accuracy_at_5 = 21.88%; loss = 4.302175  (1.412769 s/it)
Iteration   120: accuracy_at_1 =  1.56%; accuracy_at_5 =  6.25%; loss = 4.426809  (1.414181 s/it)
Iteration   130: accuracy_at_1 =  6.25%; accuracy_at_5 = 21.88%; loss = 4.189761  (1.413633 s/it)
Iteration   140: accuracy_at_1 =  3.12%; accuracy_at_5 = 10.94%; loss = 4.389868  (1.413118 s/it)
Iteration   150: accuracy_at_1 =  1.56%; accuracy_at_5 =  6.25%; loss = 4.331757  (1.414296 s/it)
Iteration   160: accuracy_at_1 =  3.12%; accuracy_at_5 =  9.38%; loss = 4.497445  (1.415200 s/it)
Iteration   170: accuracy_at_1 =  3.12%; accuracy_at_5 =  6.25%; loss = 4.506839  (1.413391 s/it)
Iteration   180: accuracy_at_1 =  4.69%; accuracy_at_5 = 12.50%; loss = 4.485171  (1.413115 s/it)
