libdc1394 error: Failed to initialize libdc1394
Training net...

Iteration     0: accuracy_at_1 = 45.31%; accuracy_at_5 = 78.12%; loss = 2.104358 
Iteration    10: accuracy_at_1 = 18.75%; accuracy_at_5 = 51.56%; loss = 3.092041  (1.378879 s/it)
Iteration    20: accuracy_at_1 = 31.25%; accuracy_at_5 = 60.94%; loss = 2.597840  (1.403867 s/it)
Iteration    30: accuracy_at_1 = 43.75%; accuracy_at_5 = 70.31%; loss = 2.122782  (1.404432 s/it)
Iteration    40: accuracy_at_1 = 32.81%; accuracy_at_5 = 67.19%; loss = 2.341103  (1.404702 s/it)
Iteration    50: accuracy_at_1 = 51.56%; accuracy_at_5 = 79.69%; loss = 2.124218  (1.404117 s/it)
Iteration    60: accuracy_at_1 = 45.31%; accuracy_at_5 = 79.69%; loss = 2.077063  (1.406901 s/it)
Iteration    70: accuracy_at_1 = 43.75%; accuracy_at_5 = 78.12%; loss = 1.989974  (1.406139 s/it)
Iteration    80: accuracy_at_1 = 39.06%; accuracy_at_5 = 65.62%; loss = 2.405648  (1.406137 s/it)
Iteration    90: accuracy_at_1 = 34.38%; accuracy_at_5 = 67.19%; loss = 2.295568  (1.404939 s/it)
Iteration   100: accuracy_at_1 = 51.56%; accuracy_at_5 = 73.44%; loss = 2.017688  (1.405373 s/it)
Iteration   110: accuracy_at_1 = 31.25%; accuracy_at_5 = 67.19%; loss = 2.481453  (1.406604 s/it)
Iteration   120: accuracy_at_1 = 43.75%; accuracy_at_5 = 67.19%; loss = 2.173878  (1.405130 s/it)
Iteration   130: accuracy_at_1 = 48.44%; accuracy_at_5 = 79.69%; loss = 2.076363  (1.406533 s/it)
Iteration   140: accuracy_at_1 = 35.94%; accuracy_at_5 = 67.19%; loss = 2.389426  (1.405262 s/it)
Iteration   150: accuracy_at_1 = 39.06%; accuracy_at_5 = 75.00%; loss = 2.063906  (1.404387 s/it)
Iteration   160: accuracy_at_1 = 32.81%; accuracy_at_5 = 65.62%; loss = 2.712814  (1.405265 s/it)
Iteration   170: accuracy_at_1 = 50.00%; accuracy_at_5 = 70.31%; loss = 2.132414  (1.405060 s/it)
Iteration   180: accuracy_at_1 = 35.94%; accuracy_at_5 = 62.50%; loss = 2.322323  (1.406508 s/it)
Iteration   190: accuracy_at_1 = 43.75%; accuracy_at_5 = 70.31%; loss = 2.159093  (1.407038 s/it)
Iteration   200: accuracy_at_1 = 43.75%; accuracy_at_5 = 71.88%; loss = 2.028586  (1.404603 s/it)
Iteration   210: accuracy_at_1 = 46.88%; accuracy_at_5 = 71.88%; loss = 2.423712  (1.409584 s/it)
Iteration   220: accuracy_at_1 = 40.62%; accuracy_at_5 = 70.31%; loss = 2.345989  (1.407023 s/it)
Iteration   230: accuracy_at_1 = 42.19%; accuracy_at_5 = 79.69%; loss = 2.071794  (1.404376 s/it)
Iteration   240: accuracy_at_1 = 32.81%; accuracy_at_5 = 57.81%; loss = 2.790541  (1.406741 s/it)
Iteration   250: accuracy_at_1 = 35.94%; accuracy_at_5 = 65.62%; loss = 2.527757  (1.408513 s/it)
Iteration   260: accuracy_at_1 = 39.06%; accuracy_at_5 = 79.69%; loss = 2.350383  (1.404904 s/it)
Iteration   270: accuracy_at_1 = 35.94%; accuracy_at_5 = 75.00%; loss = 2.289878  (1.406743 s/it)
Iteration   280: accuracy_at_1 = 37.50%; accuracy_at_5 = 65.62%; loss = 2.530128  (1.405044 s/it)
Iteration   290: accuracy_at_1 = 35.94%; accuracy_at_5 = 70.31%; loss = 2.382613  (1.404735 s/it)
Iteration   300: accuracy_at_1 = 42.19%; accuracy_at_5 = 75.00%; loss = 2.265834  (1.404925 s/it)
Iteration   310: accuracy_at_1 = 37.50%; accuracy_at_5 = 76.56%; loss = 2.172464  (1.405601 s/it)
Iteration   320: accuracy_at_1 = 35.94%; accuracy_at_5 = 81.25%; loss = 2.267976  (1.406768 s/it)
Iteration   330: accuracy_at_1 = 40.62%; accuracy_at_5 = 70.31%; loss = 2.379158  (1.404828 s/it)
Iteration   340: accuracy_at_1 = 40.62%; accuracy_at_5 = 71.88%; loss = 2.283206  (1.404721 s/it)
Iteration   350: accuracy_at_1 = 43.75%; accuracy_at_5 = 70.31%; loss = 2.314279  (1.406059 s/it)
Iteration   360: accuracy_at_1 = 54.69%; accuracy_at_5 = 79.69%; loss = 1.845579  (1.405052 s/it)
Iteration   370: accuracy_at_1 = 37.50%; accuracy_at_5 = 62.50%; loss = 2.430259  (1.404333 s/it)
Iteration   380: accuracy_at_1 = 31.25%; accuracy_at_5 = 59.38%; loss = 2.931835  (1.405605 s/it)
Iteration   390: accuracy_at_1 = 45.31%; accuracy_at_5 = 73.44%; loss = 2.023959  (1.405844 s/it)
Iteration   400: accuracy_at_1 = 35.94%; accuracy_at_5 = 68.75%; loss = 2.292295  (1.404828 s/it)
Iteration   410: accuracy_at_1 = 39.06%; accuracy_at_5 = 81.25%; loss = 2.211514  (1.406065 s/it)
Iteration   420: accuracy_at_1 = 45.31%; accuracy_at_5 = 76.56%; loss = 2.142379  (1.405619 s/it)
Iteration   430: accuracy_at_1 = 39.06%; accuracy_at_5 = 67.19%; loss = 2.400508  (1.405097 s/it)
Iteration   440: accuracy_at_1 = 43.75%; accuracy_at_5 = 68.75%; loss = 2.230924  (1.405740 s/it)
Iteration   450: accuracy_at_1 = 53.12%; accuracy_at_5 = 78.12%; loss = 1.906659  (1.405414 s/it)
Iteration   460: accuracy_at_1 = 43.75%; accuracy_at_5 = 78.12%; loss = 2.114037  (1.405221 s/it)
Iteration   470: accuracy_at_1 = 40.62%; accuracy_at_5 = 70.31%; loss = 2.138665  (1.405310 s/it)
Iteration   480: accuracy_at_1 = 46.88%; accuracy_at_5 = 71.88%; loss = 2.064137  (1.405429 s/it)
Iteration   490: accuracy_at_1 = 34.38%; accuracy_at_5 = 73.44%; loss = 2.286248  (1.404433 s/it)
Iteration   500: accuracy_at_1 = 32.81%; accuracy_at_5 = 71.88%; loss = 2.392956  (1.404621 s/it)
Iteration   510: accuracy_at_1 = 32.81%; accuracy_at_5 = 78.12%; loss = 2.309424  (1.405117 s/it)
Iteration   520: accuracy_at_1 = 45.31%; accuracy_at_5 = 75.00%; loss = 2.268665  (1.404713 s/it)
