libdc1394 error: Failed to initialize libdc1394
Training net...

Iteration     0: accuracy_at_1 = 65.62%; accuracy_at_5 = 79.69%; loss = 1.568146 
Iteration    10: accuracy_at_1 = 32.81%; accuracy_at_5 = 65.62%; loss = 2.374862  (1.377913 s/it)
Iteration    20: accuracy_at_1 = 48.44%; accuracy_at_5 = 75.00%; loss = 1.978796  (1.402304 s/it)
Iteration    30: accuracy_at_1 = 51.56%; accuracy_at_5 = 79.69%; loss = 1.663283  (1.403141 s/it)
Iteration    40: accuracy_at_1 = 45.31%; accuracy_at_5 = 79.69%; loss = 1.772120  (1.402311 s/it)
Iteration    50: accuracy_at_1 = 59.38%; accuracy_at_5 = 87.50%; loss = 1.586327  (1.402499 s/it)
Iteration    60: accuracy_at_1 = 57.81%; accuracy_at_5 = 84.38%; loss = 1.712982  (1.403526 s/it)
Iteration    70: accuracy_at_1 = 60.94%; accuracy_at_5 = 87.50%; loss = 1.451872  (1.402659 s/it)
Iteration    80: accuracy_at_1 = 43.75%; accuracy_at_5 = 79.69%; loss = 1.819545  (1.403040 s/it)
Iteration    90: accuracy_at_1 = 43.75%; accuracy_at_5 = 78.12%; loss = 1.964632  (1.404183 s/it)
Iteration   100: accuracy_at_1 = 56.25%; accuracy_at_5 = 82.81%; loss = 1.684216  (1.403201 s/it)
Iteration   110: accuracy_at_1 = 45.31%; accuracy_at_5 = 76.56%; loss = 1.994816  (1.403839 s/it)
Iteration   120: accuracy_at_1 = 42.19%; accuracy_at_5 = 79.69%; loss = 1.771719  (1.403341 s/it)
Iteration   130: accuracy_at_1 = 53.12%; accuracy_at_5 = 89.06%; loss = 1.568760  (1.403771 s/it)
Iteration   140: accuracy_at_1 = 46.88%; accuracy_at_5 = 75.00%; loss = 1.907521  (1.402951 s/it)
Iteration   150: accuracy_at_1 = 53.12%; accuracy_at_5 = 84.38%; loss = 1.625710  (1.403199 s/it)
Iteration   160: accuracy_at_1 = 39.06%; accuracy_at_5 = 78.12%; loss = 2.260300  (1.404085 s/it)
Iteration   170: accuracy_at_1 = 57.81%; accuracy_at_5 = 78.12%; loss = 1.800382  (1.402721 s/it)
Iteration   180: accuracy_at_1 = 50.00%; accuracy_at_5 = 76.56%; loss = 1.837291  (1.403331 s/it)
Iteration   190: accuracy_at_1 = 54.69%; accuracy_at_5 = 79.69%; loss = 1.611275  (1.403879 s/it)
Iteration   200: accuracy_at_1 = 48.44%; accuracy_at_5 = 84.38%; loss = 1.586610  (1.402895 s/it)
