libdc1394 error: Failed to initialize libdc1394
Training net...

Iteration     0: accuracy_at_1 = 65.62%; accuracy_at_5 = 79.69%; loss = 1.568943 
Iteration    10: accuracy_at_1 = 32.81%; accuracy_at_5 = 65.62%; loss = 2.373321  (1.374634 s/it)
Iteration    20: accuracy_at_1 = 48.44%; accuracy_at_5 = 75.00%; loss = 1.975669  (1.398844 s/it)
Iteration    30: accuracy_at_1 = 51.56%; accuracy_at_5 = 79.69%; loss = 1.663251  (1.399379 s/it)
Iteration    40: accuracy_at_1 = 45.31%; accuracy_at_5 = 79.69%; loss = 1.771665  (1.399511 s/it)
Iteration    50: accuracy_at_1 = 59.38%; accuracy_at_5 = 85.94%; loss = 1.582923  (1.400400 s/it)
Iteration    60: accuracy_at_1 = 57.81%; accuracy_at_5 = 84.38%; loss = 1.715870  (1.399800 s/it)
Iteration    70: accuracy_at_1 = 60.94%; accuracy_at_5 = 87.50%; loss = 1.445527  (1.398890 s/it)
Iteration    80: accuracy_at_1 = 43.75%; accuracy_at_5 = 79.69%; loss = 1.819029  (1.399887 s/it)
Iteration    90: accuracy_at_1 = 43.75%; accuracy_at_5 = 79.69%; loss = 1.961336  (1.399758 s/it)
Iteration   100: accuracy_at_1 = 56.25%; accuracy_at_5 = 82.81%; loss = 1.682996  (1.399777 s/it)
Iteration   110: accuracy_at_1 = 45.31%; accuracy_at_5 = 76.56%; loss = 2.002237  (1.398963 s/it)
Iteration   120: accuracy_at_1 = 42.19%; accuracy_at_5 = 81.25%; loss = 1.767871  (1.400591 s/it)
Iteration   130: accuracy_at_1 = 53.12%; accuracy_at_5 = 89.06%; loss = 1.567099  (1.400145 s/it)
Iteration   140: accuracy_at_1 = 45.31%; accuracy_at_5 = 75.00%; loss = 1.907988  (1.401401 s/it)
Iteration   150: accuracy_at_1 = 54.69%; accuracy_at_5 = 84.38%; loss = 1.622053  (1.399536 s/it)
Iteration   160: accuracy_at_1 = 37.50%; accuracy_at_5 = 78.12%; loss = 2.263573  (1.399820 s/it)
Iteration   170: accuracy_at_1 = 57.81%; accuracy_at_5 = 78.12%; loss = 1.799742  (1.400639 s/it)
Iteration   180: accuracy_at_1 = 50.00%; accuracy_at_5 = 76.56%; loss = 1.836608  (1.399903 s/it)
Iteration   190: accuracy_at_1 = 54.69%; accuracy_at_5 = 79.69%; loss = 1.607305  (1.400610 s/it)
Iteration   200: accuracy_at_1 = 46.88%; accuracy_at_5 = 85.94%; loss = 1.585649  (1.399697 s/it)
Iteration   210: accuracy_at_1 = 54.69%; accuracy_at_5 = 84.38%; loss = 1.884383  (1.400141 s/it)
Iteration   220: accuracy_at_1 = 57.81%; accuracy_at_5 = 81.25%; loss = 1.746577  (1.400206 s/it)
Iteration   230: accuracy_at_1 = 46.88%; accuracy_at_5 = 84.38%; loss = 1.692999  (1.400046 s/it)
Iteration   240: accuracy_at_1 = 42.19%; accuracy_at_5 = 64.06%; loss = 2.374404  (1.400105 s/it)
Iteration   250: accuracy_at_1 = 39.06%; accuracy_at_5 = 75.00%; loss = 2.147312  (1.400614 s/it)
Iteration   260: accuracy_at_1 = 53.12%; accuracy_at_5 = 84.38%; loss = 1.853772  (1.400282 s/it)
Iteration   270: accuracy_at_1 = 50.00%; accuracy_at_5 = 82.81%; loss = 1.792422  (1.400058 s/it)
Iteration   280: accuracy_at_1 = 43.75%; accuracy_at_5 = 71.88%; loss = 2.097669  (1.400035 s/it)
Iteration   290: accuracy_at_1 = 37.50%; accuracy_at_5 = 82.81%; loss = 2.100595  (1.400904 s/it)
Iteration   300: accuracy_at_1 = 50.00%; accuracy_at_5 = 78.12%; loss = 1.800522  (1.400380 s/it)
Iteration   310: accuracy_at_1 = 53.12%; accuracy_at_5 = 84.38%; loss = 1.735820  (1.400431 s/it)
Iteration   320: accuracy_at_1 = 43.75%; accuracy_at_5 = 79.69%; loss = 1.968966  (1.400233 s/it)
Iteration   330: accuracy_at_1 = 42.19%; accuracy_at_5 = 75.00%; loss = 1.990420  (1.400528 s/it)
Iteration   340: accuracy_at_1 = 51.56%; accuracy_at_5 = 76.56%; loss = 1.815636  (1.400364 s/it)
Iteration   350: accuracy_at_1 = 43.75%; accuracy_at_5 = 78.12%; loss = 2.090019  (1.400459 s/it)
Iteration   360: accuracy_at_1 = 59.38%; accuracy_at_5 = 84.38%; loss = 1.555801  (1.400208 s/it)
Iteration   370: accuracy_at_1 = 45.31%; accuracy_at_5 = 73.44%; loss = 1.994791  (1.399652 s/it)
Iteration   380: accuracy_at_1 = 40.62%; accuracy_at_5 = 65.62%; loss = 2.324610  (1.402027 s/it)
Iteration   390: accuracy_at_1 = 57.81%; accuracy_at_5 = 81.25%; loss = 1.667536  (1.401060 s/it)
Iteration   400: accuracy_at_1 = 43.75%; accuracy_at_5 = 78.12%; loss = 1.852521  (1.400245 s/it)
Iteration   410: accuracy_at_1 = 46.88%; accuracy_at_5 = 89.06%; loss = 1.765496  (1.399610 s/it)
Iteration   420: accuracy_at_1 = 53.12%; accuracy_at_5 = 79.69%; loss = 1.747204  (1.399477 s/it)
Iteration   430: accuracy_at_1 = 45.31%; accuracy_at_5 = 70.31%; loss = 2.012150  (1.399943 s/it)
Iteration   440: accuracy_at_1 = 53.12%; accuracy_at_5 = 78.12%; loss = 1.820714  (1.400796 s/it)
Iteration   450: accuracy_at_1 = 67.19%; accuracy_at_5 = 84.38%; loss = 1.377562  (1.400473 s/it)
Iteration   460: accuracy_at_1 = 51.56%; accuracy_at_5 = 85.94%; loss = 1.634126  (1.400018 s/it)
Iteration   470: accuracy_at_1 = 54.69%; accuracy_at_5 = 87.50%; loss = 1.665064  (1.401427 s/it)
Iteration   480: accuracy_at_1 = 50.00%; accuracy_at_5 = 79.69%; loss = 1.707759  (1.400898 s/it)
Iteration   490: accuracy_at_1 = 42.19%; accuracy_at_5 = 75.00%; loss = 1.951747  (1.399853 s/it)
Iteration   500: accuracy_at_1 = 46.88%; accuracy_at_5 = 78.12%; loss = 2.020741  (1.400517 s/it)
Iteration   510: accuracy_at_1 = 45.31%; accuracy_at_5 = 85.94%; loss = 1.880482  (1.399879 s/it)
Iteration   520: accuracy_at_1 = 54.69%; accuracy_at_5 = 76.56%; loss = 1.850823  (1.400500 s/it)
Iteration   530: accuracy_at_1 = 56.25%; accuracy_at_5 = 84.38%; loss = 1.432824  (1.400566 s/it)
Iteration   540: accuracy_at_1 = 37.50%; accuracy_at_5 = 68.75%; loss = 2.368706  (1.401025 s/it)
Iteration   550: accuracy_at_1 = 57.81%; accuracy_at_5 = 78.12%; loss = 1.731150  (1.399770 s/it)
Iteration   560: accuracy_at_1 = 53.12%; accuracy_at_5 = 85.94%; loss = 1.560939  (1.400350 s/it)
Iteration   570: accuracy_at_1 = 57.81%; accuracy_at_5 = 79.69%; loss = 1.735216  (1.400156 s/it)
